FID,pk,efetivacao,tipo,nivel,upperlimit,uom_ulimit,lowerlimit,uom_llimit,rumo_verda,rumo_mag,c_rumo_ver,c_rumo_mag,aerovia,geom,emenda,emenda_futura
airway.33,34,2018-02-01,CONV,LOWER,245,FL,145,FL,346,2,166,183,A430,"MULTILINESTRING ((-54.68878425 -20.48351375, -54.73199985108922 -20.325527519345957, -54.775127778 -20.167527778))",2018-09-13,2018-10-11
airway.34,3925,2018-02-01,CONV,LOWER,245,FL,175,FL,297,309,117,129,A430,"MULTILINESTRING ((-63.91383333 -11.91283333, -64.06875296697481 -11.83498237503097, -64.22358492795227 -11.75704641459552, -64.3783297617136 -11.67902607018708, -64.53298801844907 -11.60092196268707, -64.68756024974164 -11.522734712366349, -64.84204700855048 -11.44446493888684, -64.99644884919485 -11.36611326130311, -65.15076632733788 -11.2876802980641, -65.305 -11.209166667))",2018-09-13,2018-10-11
airway.35,3924,2018-02-01,CONV,LOWER,245,FL,175,FL,297,310,117,130,A430,"MULTILINESTRING ((-61.56194444 -13.08166667, -61.71769849812841 -13.00517818060704, -61.87335709019734 -12.928595865484079, -62.02892074049858 -12.85192035105041, -62.18438997497107 -12.775152263097919, -62.339765321182576 -12.698292226791619, -62.495047308311534 -12.621340866670229, -62.650236467129005 -12.54429880664681, -62.80533333 -12.46716667))",2018-09-13,2018-10-11
airway.36,6882,2018-02-01,CONV,LOWER,245,FL,145,FL,346,3,166,183,A430,"MULTILINESTRING ((-54.775127778 -20.167527778, -54.821613930830345 -19.99685494895315, -54.868 -19.82616667))",2018-09-13,2018-10-11
airway.37,35,2018-02-01,CONV,LOWER,245,FL,145,FL,344,1,164,181,A430,"MULTILINESTRING ((-54.868 -19.82616667, -54.91876913596098 -19.66262833766313, -54.969435428747516 -19.49907272192084, -55.02 -19.3355))",2018-09-13,2018-10-11
airway.38,37,2018-02-01,CONV,LOWER,245,FL,145,FL,344,1,164,180,A430,"MULTILINESTRING ((-55.92366667 -16.30016667, -55.97087038097518 -16.139166921920168, -56.01799785839203 -15.978154314594029, -56.06505001987665 -15.81712899537814, -56.112027778 -15.656091111))",2018-09-13,2018-10-11
airway.39,36,2018-02-01,CONV,LOWER,245,FL,145,FL,344,1,164,181,A430,"MULTILINESTRING ((-55.5245 -17.65066667, -55.574711905983435 -17.481907278640968, -55.624831301224965 -17.3131323626446, -55.674859296409636 -17.144342098434, -55.72479699535199 -16.975536661579508, -55.7746454950943 -16.806716226811858, -55.82440588600394 -16.63788096803505, -55.87407925186951 -16.46903105833911, -55.92366667 -16.30016667))",2018-09-13,2018-10-11
airway.40,38,2018-02-01,CONV,LOWER,245,FL,175,FL,295,311,115,132,A430,"MULTILINESTRING ((-56.112027778 -15.656091111, -56.26830704146734 -15.584859804135869, -56.42447854886546 -15.513517110739839, -56.580542725782834 -15.442063639859269, -56.7365 -15.370500000000002))",2018-09-13,2018-10-11
airway.41,41,2018-02-01,CONV,LOWER,245,FL,175,FL,296,311,116,130,A430,"MULTILINESTRING ((-60.27683333 -13.704, -60.43783537627985 -13.62656986629287, -60.5987325633242 -13.549035072877679, -60.75952543859836 -13.47139630296026, -60.920214551589346 -13.393654239060389, -61.080800453783716 -13.315809563011529, -61.241283698645525 -13.23786295596063, -61.401664841594474 -13.15981509836807, -61.56194444 -13.08166667))",2018-09-13,2018-10-11
airway.42,39,2018-02-01,CONV,LOWER,245,FL,175,FL,295,312,116,132,A430,"MULTILINESTRING ((-56.7365 -15.370500000000002, -56.90074043333833 -15.29495251184818, -57.06486310585781 -15.219284055984259, -57.22886852618433 -15.143495342754258, -57.392757205538906 -15.06758708182641, -57.55652965771126 -14.99155998218861, -57.720186399033466 -14.91541475214595, -57.88372794835391 -14.839152099318449, -58.047154827011276 -14.76277273063883, -58.210467558808844 -14.68627735235043, -58.37366667 -14.60966667))",2018-09-13,2018-10-11
airway.43,40,2018-02-01,CONV,LOWER,245,FL,175,FL,296,312,116,131,A430,"MULTILINESTRING ((-58.37366667 -14.60966667, -58.52826769540434 -14.536935518078169, -58.68276754397195 -14.46410198498095, -58.83716667 -14.39116667))",2018-09-13,2018-10-11
airway.44,43,2018-02-01,CONV,LOWER,245,FL,175,FL,297,309,118,128,A430,"MULTILINESTRING ((-65.305 -11.209166667, -65.48440983035435 -11.117621985979529, -65.6637076950289 -11.025969832970329, -65.84289448023024 -10.934211179736499, -66.02197107447624 -10.842346996946299, -66.20093836856346 -10.75037825417656, -66.37979725553475 -10.65830591991741, -66.55854863064728 -10.56613096157696, -66.73719339134071 -10.47385434548629, -66.91573243720595 -10.38147703690448, -67.09416667 -10.289))",2018-09-13,2018-10-11
airway.45,42,2018-02-01,CONV,LOWER,245,FL,175,FL,297,310,117,129,A430,"MULTILINESTRING ((-62.80533333 -12.46716667, -62.96397379813383 -12.38825196979656, -63.12251886572014 -12.309244236487089, -63.28096910639092 -12.23014413522415, -63.439325095430306 -12.15095233048305, -63.59758740975533 -12.07166948606298, -63.755756627896766 -11.99229626508833, -63.91383333 -11.91283333))",2018-09-13,2018-10-11
airway.46,44,2018-02-01,CONV,LOWER,245,FL,175,FL,297,307,117,126,A430,"MULTILINESTRING ((-67.09416667 -10.289, -67.25657538895011 -10.20655738899282, -67.41890048425184 -10.1240335961783, -67.5811426079713 -10.04142933139733, -67.7433024135886 -9.958745303832389, -67.905380556 -9.875982222000001))",2018-09-13,2018-10-11
airway.47,6640,2018-02-01,CONV,LOWER,245,FL,175,FL,296,311,116,131,A430,"MULTILINESTRING ((-58.83716667 -14.39116667, -58.997556091865555 -14.31524320086764, -59.157837685860436 -14.239211072122119, -59.31801196864958 -14.163070954975149, -59.47807945903693 -14.086823519976589, -59.6380406779429 -14.01046943701348, -59.79789614838193 -13.93400937530908, -59.95764639544023 -13.857444003422009, -60.11729194625363 -13.780773989245539, -60.27683333 -13.704))",2018-09-13,2018-10-11
airway.48,6889,2018-06-21,CONV,LOWER,245,FL,145,FL,344,2,164,181,A430,"MULTILINESTRING ((-55.465991667000004 -17.847813889, -55.49526184561348 -17.74924295585385, -55.5245 -17.65066667))",2018-09-13,2018-10-11
airway.49,6888,2018-06-21,CONV,LOWER,245,FL,145,FL,344,1,164,182,A430,"MULTILINESTRING ((-55.02 -19.3355, -55.06994216933058 -19.17026604591609, -55.11978488761387 -19.005015564693668, -55.169529265385876 -18.83974872973031, -55.219176405907305 -18.67446571351641, -55.26872740526259 -18.50916668764848, -55.31818335245784 -18.343851822842318, -55.36754532951769 -18.17852128894596, -55.4168144115811 -18.013175254952518, -55.465991667000004 -17.847813889))",2018-09-13,2018-10-11
airway.50,45,2017-06-21,CONV,LOWER,245,FL,145,FL,91,106,270,287,W34,"MULTILINESTRING ((-54.503513889000004 -25.583202778, -54.319182186188826 -25.58458381745001, -54.134846607781185 -25.5857325995648, -53.95050786518322 -25.58664910807502, -53.76616667 -25.58733333))",2018-09-13,2018-10-11
airway.51,6477,2018-02-01,CONV,LOWER,245,FL,145,FL,87,107,267,286,W34,"MULTILINESTRING ((-49.584641667 -25.546313889, -49.412822222 -25.538627778000002))",2018-09-13,2018-10-11
airway.52,4415,2018-02-01,CONV,LOWER,245,FL,145,FL,89,108,269,288,W34,"MULTILINESTRING ((-51.391672222000004 -25.584752778000002, -51.20131530999193 -25.58288805249671, -51.010964689276115 -25.58077566286822, -50.82062114247468 -25.57841564101359, -50.63028545173929 -25.5758080225668, -50.43995839874419 -25.572952846895127, -50.249640764638706 -25.56985015709707, -50.05933333 -25.5665))",2018-09-13,2018-10-11
airway.53,6008,2018-02-01,CONV,LOWER,245,FL,145,FL,90,107,270,287,W34,"MULTILINESTRING ((-53.76616667 -25.58733333, -53.586629006493226 -25.58848471103316, -53.407088235248935 -25.58941573539035, -53.227545013842544 -25.59012639056227, -53.048 -25.590616667))",2018-09-13,2018-10-11
airway.54,4416,2018-02-01,CONV,LOWER,245,FL,145,FL,87,106,267,287,W34,"MULTILINESTRING ((-50.05933333 -25.5665, -49.90108517464381 -25.559942315648218, -49.74285447302205 -25.55321358858912, -49.584641667 -25.546313889))",2018-09-13,2018-10-11
airway.55,4417,2018-02-01,CONV,LOWER,245,FL,145,FL,88,108,268,286,W34,"MULTILINESTRING ((-49.412822222 -25.538627778000002, -49.29023970249192 -25.53538044958681, -49.167663889 -25.532030556000002))",2018-09-13,2018-10-11
airway.56,6881,2018-02-01,CONV,LOWER,245,FL,145,FL,90,107,269,288,W34,"MULTILINESTRING ((-53.048 -25.590616667, -52.86395891239384 -25.590891331628647, -52.67991733856116 -25.59093443427267, -52.495875987122176 -25.59074597432337, -52.31183556663413 -25.59032595444159, -52.12779678560128 -25.58967438055739, -51.94376035243473 -25.58879126186979, -51.759726975412065 -25.58767661084628, -51.57569736263718 -25.58633044322222, -51.391672222000004 -25.584752778000002))",2018-09-13,2018-10-11
airway.57,6148,2017-06-21,CONV,LOWER,235,FL,145,FL,172,194,352,14,G449,"MULTILINESTRING ((-46.985683333000004 -20.209908333, -46.961632257398115 -20.376441053637908, -46.93752950311113 -20.54296727698591, -46.9133744983156 -20.7094869451306, -46.889166667 -20.876))",2018-09-13,2018-10-11
airway.58,69,2013-12-12,CONV,LOWER,245,FL,145,FL,72,77,252,259,B552,"MULTILINESTRING ((-72.77347 -7.606796389, -72.48282868520339 -7.51307037011041, -72.19231205221624 -7.4191516520837295, -71.90191872295688 -7.3250427492671095, -71.6116473088669 -7.23074617703322, -71.32149641105234 -7.13626445174286, -71.0314646204319 -7.04160009071074, -70.7415505178852 -6.94675561217212, -70.45175267440051 -6.85173353525025, -70.16206965122255 -6.756536379924619, -69.8725 -6.661166667))",2018-09-13,2018-10-11
